Game Number,Test Agent,Win Percentage,Draw Percentage,Loss Percentage
149000,moderate_player,0.003,0.012,0.985
149000,advanced_player,0.0,0.0,1.0
150000,random_player,1.0,0.0,0.0
150000,moderate_player,0.002,0.014,0.984
150000,advanced_player,0.0,0.0,1.0
151000,random_player,1.0,0.0,0.0
151000,moderate_player,0.004,0.024,0.972
151000,advanced_player,0.0,0.0,1.0
152000,random_player,0.997,0.001,0.002
152000,moderate_player,0.002,0.019,0.979
152000,advanced_player,0.0,0.0,1.0
153000,random_player,0.999,0.0,0.001
153000,moderate_player,0.002,0.016,0.982
153000,advanced_player,0.0,0.0,1.0
154000,random_player,0.999,0.001,0.0
154000,moderate_player,0.003,0.019,0.978
154000,advanced_player,0.0,0.0,1.0
155000,random_player,1.0,0.0,0.0
155000,moderate_player,0.002,0.019,0.979
155000,advanced_player,0.0,0.0,1.0
156000,random_player,0.999,0.001,0.0
156000,moderate_player,0.002,0.02,0.978
156000,advanced_player,0.0,0.0,1.0
157000,random_player,0.998,0.002,0.0
157000,moderate_player,0.001,0.013,0.986
157000,advanced_player,0.0,0.0,1.0
158000,random_player,0.999,0.0,0.001
158000,moderate_player,0.003,0.014,0.983
158000,advanced_player,0.0,0.0,1.0
159000,random_player,1.0,0.0,0.0
159000,moderate_player,0.003,0.016,0.981
159000,advanced_player,0.0,0.0,1.0
160000,random_player,0.999,0.001,0.0
160000,moderate_player,0.003,0.009,0.988
160000,advanced_player,0.0,0.0,1.0
161000,random_player,1.0,0.0,0.0
161000,moderate_player,0.002,0.008,0.99
161000,advanced_player,0.0,0.0,1.0
162000,random_player,0.999,0.0,0.001
162000,moderate_player,0.002,0.01,0.988
162000,advanced_player,0.0,0.0,1.0
163000,random_player,1.0,0.0,0.0
163000,moderate_player,0.001,0.016,0.983
163000,advanced_player,0.0,0.0,1.0
164000,random_player,1.0,0.0,0.0
164000,moderate_player,0.002,0.015,0.983
164000,advanced_player,0.0,0.001,0.999
165000,random_player,1.0,0.0,0.0
165000,moderate_player,0.002,0.018,0.98
165000,advanced_player,0.0,0.0,1.0
166000,random_player,1.0,0.0,0.0
166000,moderate_player,0.002,0.009,0.989
166000,advanced_player,0.0,0.0,1.0
167000,random_player,0.998,0.001,0.001
167000,moderate_player,0.0,0.017,0.983
167000,advanced_player,0.0,0.0,1.0
168000,random_player,0.999,0.001,0.0
168000,moderate_player,0.0,0.013,0.987
168000,advanced_player,0.0,0.0,1.0
169000,random_player,1.0,0.0,0.0
169000,moderate_player,0.0,0.012,0.988
169000,advanced_player,0.0,0.0,1.0
170000,random_player,0.998,0.002,0.0
170000,moderate_player,0.002,0.013,0.985
170000,advanced_player,0.0,0.0,1.0
171000,random_player,0.998,0.002,0.0
171000,moderate_player,0.007,0.018,0.975
171000,advanced_player,0.0,0.0,1.0
172000,random_player,0.999,0.001,0.0
172000,moderate_player,0.001,0.013,0.986
172000,advanced_player,0.0,0.001,0.999
173000,random_player,1.0,0.0,0.0
173000,moderate_player,0.0,0.011,0.989
173000,advanced_player,0.0,0.0,1.0
174000,random_player,1.0,0.0,0.0
174000,moderate_player,0.0,0.006,0.994
174000,advanced_player,0.0,0.0,1.0
175000,random_player,0.999,0.001,0.0
175000,moderate_player,0.001,0.012,0.987
175000,advanced_player,0.0,0.0,1.0
176000,random_player,0.998,0.001,0.001
176000,moderate_player,0.002,0.012,0.986
176000,advanced_player,0.0,0.0,1.0
177000,random_player,1.0,0.0,0.0
177000,moderate_player,0.0,0.009,0.991
177000,advanced_player,0.0,0.0,1.0
178000,random_player,1.0,0.0,0.0
178000,moderate_player,0.003,0.009,0.988
178000,advanced_player,0.0,0.0,1.0
179000,random_player,0.998,0.002,0.0
179000,moderate_player,0.001,0.009,0.99
179000,advanced_player,0.0,0.0,1.0
180000,random_player,0.999,0.001,0.0
180000,moderate_player,0.0,0.015,0.985
180000,advanced_player,0.0,0.0,1.0
181000,random_player,1.0,0.0,0.0
181000,moderate_player,0.001,0.016,0.983
181000,advanced_player,0.0,0.0,1.0
182000,random_player,0.999,0.0,0.001
182000,moderate_player,0.002,0.015,0.983
182000,advanced_player,0.0,0.0,1.0
183000,random_player,1.0,0.0,0.0
183000,moderate_player,0.002,0.012,0.986
183000,advanced_player,0.0,0.0,1.0
184000,random_player,1.0,0.0,0.0
184000,moderate_player,0.001,0.013,0.986
184000,advanced_player,0.0,0.0,1.0
185000,random_player,1.0,0.0,0.0
185000,moderate_player,0.001,0.006,0.993
185000,advanced_player,0.0,0.0,1.0
186000,random_player,0.999,0.0,0.001
186000,moderate_player,0.0,0.008,0.992
186000,advanced_player,0.0,0.0,1.0
187000,random_player,1.0,0.0,0.0
187000,moderate_player,0.001,0.007,0.992
187000,advanced_player,0.0,0.0,1.0
188000,random_player,0.999,0.001,0.0
188000,moderate_player,0.001,0.014,0.985
188000,advanced_player,0.0,0.0,1.0
189000,random_player,1.0,0.0,0.0
189000,moderate_player,0.0,0.013,0.987
189000,advanced_player,0.0,0.0,1.0
190000,random_player,0.998,0.002,0.0
190000,moderate_player,0.002,0.009,0.989
190000,advanced_player,0.0,0.0,1.0
191000,random_player,1.0,0.0,0.0
191000,moderate_player,0.003,0.016,0.981
191000,advanced_player,0.0,0.0,1.0
192000,random_player,0.999,0.001,0.0
192000,moderate_player,0.003,0.007,0.99
192000,advanced_player,0.0,0.0,1.0
193000,random_player,1.0,0.0,0.0
193000,moderate_player,0.001,0.019,0.98
193000,advanced_player,0.0,0.0,1.0
194000,random_player,1.0,0.0,0.0
194000,moderate_player,0.001,0.008,0.991
194000,advanced_player,0.0,0.0,1.0
195000,random_player,1.0,0.0,0.0
195000,moderate_player,0.002,0.015,0.983
195000,advanced_player,0.0,0.0,1.0
196000,random_player,0.998,0.001,0.001
196000,moderate_player,0.002,0.016,0.982
196000,advanced_player,0.0,0.0,1.0
197000,random_player,1.0,0.0,0.0
197000,moderate_player,0.003,0.011,0.986
197000,advanced_player,0.0,0.0,1.0
198000,random_player,1.0,0.0,0.0
198000,moderate_player,0.001,0.016,0.983
198000,advanced_player,0.0,0.0,1.0
199000,random_player,0.999,0.001,0.0
199000,moderate_player,0.002,0.013,0.985
199000,advanced_player,0.0,0.0,1.0
200000,random_player,1.0,0.0,0.0
200000,moderate_player,0.001,0.009,0.99
200000,advanced_player,0.0,0.0,1.0
201000,random_player,1.0,0.0,0.0
201000,moderate_player,0.001,0.009,0.99
201000,advanced_player,0.0,0.0,1.0
202000,random_player,1.0,0.0,0.0
202000,moderate_player,0.0,0.013,0.987
202000,advanced_player,0.0,0.0,1.0
203000,random_player,1.0,0.0,0.0
203000,moderate_player,0.001,0.012,0.987
203000,advanced_player,0.0,0.0,1.0
204000,random_player,1.0,0.0,0.0
204000,moderate_player,0.0,0.005,0.995
204000,advanced_player,0.0,0.0,1.0
205000,random_player,1.0,0.0,0.0
205000,moderate_player,0.0,0.014,0.986
205000,advanced_player,0.0,0.001,0.999
206000,random_player,1.0,0.0,0.0
206000,moderate_player,0.0,0.007,0.993
206000,advanced_player,0.0,0.0,1.0
207000,random_player,1.0,0.0,0.0
